DMP_PostNL::Magento Enterprise Edition version,Magento Enterprise Edition version
DMP_PostNL::Idev's OneStepCheckout version,Idev's OneStepCheckout version
DMP_PostNL::IWD's OnePageCheckout version,IWD's OnePageCheckout version
"DMP_PostNL::If you wish to use this extension on an unsupported Magento version or edition, or in combination with an unsupported 3rd party extension, we cannot guarantee the PostNL extension will function as expected. For questions please contact the Total Internet Group servicedesk.","If you wish to use this extension on an unsupported Magento version or edition, or in combination with an unsupported 3rd party extension, we cannot guarantee the PostNL extension will function as expected. For questions please contact the Total Internet Group servicedesk."
DMP_PostNL::Support,Support
DMP_PostNL::The extension is developed by Total Internet Group.,The extension is developed by Total Internet Group.
DMP_PostNL::Account questions and information,Account questions and information
DMP_PostNL::For questions related to your account, configuration problems, extension conflicts and bugs, please contact us.,For questions related to your account, configuration problems, extension conflicts and bugs, please contact us.
DMP_PostNL::Phone,Phone
DMP_PostNL::Online knowledgebase,Online knowledgebase
DMP_PostNL::Request help directly,Request help directly
DMP_PostNL::Email,Email
DMP_PostNL::Documentation,Documentation
DMP_PostNL::A list of documents regarding the extension.,A list of documents regarding the extension.
DMP_PostNL::View the installation and configuration manual.,View the installation and configuration manual.
DMP_PostNL::Installation and configuration manual,Installation and configuration manual
DMP_PostNL::View the user manual.,View the user manual.
DMP_PostNL::User manual,User manual
DMP_PostNL::View the complete changelog of the extension.,View the complete changelog of the extension.
DMP_PostNL::Full changelog,Full changelog
DMP_PostNL::PostNL PgAddress class missing.,PostNL PgAddress class missing.
DMP_PostNL::Select a transactional e-mail template to send the retourlink,Select a transactional e-mail template to send the retourlink
DMP_PostNL::Select a transactional e-mail template to send the barcode,Select a transactional e-mail template to send the barcode
DMP_PostNL::You can create a new transactional e-mail where the variables {{var retourlink}} is available.,You can create a new transactional e-mail where the variables {{var retourlink}} is available.
DMP_PostNL::Unable to send track and trace email for shipment #,Unable to send track and trace email for shipment #
DMP_PostNL::Track&amp;Trace e-mail is sent: %s,Track&amp;Trace e-mail is sent: %s
DMP_PostNL::Credit Consignment,Credit Consignment
DMP_PostNL::Retour label mailed,Retour label mailed
"DMP_PostNL::Credit has not been created, check PostNL backend for details","Credit has not been created, check PostNL backend for details"
DMP_PostNL::Consignment %s is credited at PostNL,Consignment %s is credited at PostNL
"DMP_PostNL::Select 'no' if you have problems with addresses on the labels","Select 'no' if you have problems with addresses on the labels"
DMP_PostNL::Split street parts,Split street parts
DMP_PostNL::Streetname field,Streetname field
DMP_PostNL::Housenr. field,Housenr. field
DMP_PostNL::Split house number parts,Split house number parts
DMP_PostNL::Housenr. extension field,Housenr. extension field
DMP_PostNL::Street line #%s,Street line #%s
DMP_PostNL::This will be added to the regular shipping price,This will be added to the regular shipping price
DMP_PostNL::Not possible if Pickup at PostNL location is not active,Not possible if Pickup at PostNL location is not active
DMP_PostNL::Default shipment type for Cross Domestic shipments,Default shipment type for Cross Domestic shipments
"DMP_PostNL::When changing the address, you need to cancel the current PostNL shipment(s) linked to this order and create new PostNL shipments.","When changing the address, you need to cancel the current PostNL shipment(s) linked to this order and create new PostNL shipments."
"DMP_PostNL::To read the instructions for the Magento extension, click <a target=""_blank"" href=""%s"">here</a>.","To read the instructions for the Magento extension, click <a target=""_blank"" href=""%s"">here</a>."
DMP_PostNL::When using the extension please note:,When using the extension please note:
DMP_PostNL::To be able to configure the extension you need to possess and use an active account.,To be able to configure the extension you need to possess and use an active account.
"DMP_PostNL::During the transition phase the old Magento PostNL extension can remain active. However, you do need to turn off PakjeGemak in the old PostNL extension.","During the transition phase the old Magento PostNL extension can remain active. However, you do need to turn off PakjeGemak in the old PostNL extension."
DMP_PostNL::We cannot guarantee perfect functionality of the extension when you intend to use the extension on a version of Magento that is not supported or when you intend to use the extension together with a 3rd part extension that is not supported. If you have any questions please contact us.<br><br>Supported extensions:,We cannot guarantee perfect functionality of the extension when you intend to use the extension on a version of Magento that is not supported or when you intend to use the extension together with a 3rd part extension that is not supported. If you have any questions please contact us.<br><br>Supported extensions:
DMP_PostNL::Installation and configuration instructions,Installation and configuration instructions
DMP_PostNL::Overview articles in knowledge base,View all articles in the knowledgebase
DMP_PostNL::Questions and information about your account,Questions and information about your account
"DMP_PostNL::Shipments will not be delivered at the neighbours, only on house address.","Shipments will not be delivered at the neighbours, only on house address."
DMP_PostNL::Shipments will not go the a pickup point but will be returned directly after multiple delivery attempts.,Shipments will not go the a pickup point but will be returned directly after multiple delivery attempts.
DMP_PostNL::Unable to save check_status cron expression: %s,Unable to save check_status cron expression: %s
DMP_PostNL::Some of the shipments could not be created or could not be created at PostNL from the selected orders. See below for detailed information.,Some of the shipments could not be created or could not be created at PostNL from the selected orders. See below for detailed information.
DMP_PostNL::Select A4 print start position,Select A4 print start position
"DMP_PostNL::Select content type for Cross Domestic products, see <a href=""http://gebruikstarief.douane.nl"" target=""_blank"">http://gebruikstarief.douane.nl</a>","Select content type for Cross Domestic products, see <a href=""http://gebruikstarief.douane.nl"" target=""_blank"">http://gebruikstarief.douane.nl</a>"
DMP_PostNL::Create PostNL Consignment,Create PostNL Consignment
DMP_PostNL::Track&amp;Trace link: %s,Track&amp;Trace link: %s
DMP_PostNL::Is letter box parcel,Is letter box parcel
DMP_PostNL::Shipment type,Shipment type
DMP_PostNL::Normal,Normal
DMP_PostNL::Letter box,Letter box
DMP_PostNL::Unstamped,Unstamped
DMP_PostNL::The PostNL consignment is successfully created.,The PostNL consignment is successfully created.
DMP_PostNL::Choose a pickup location,Choose a pickup location
DMP_PostNL::Zipcode,Zipcode
"DMP_PostNL::Search by zipcode, address or city","Search by zipcode, address or city"
DMP_PostNL::Housenumber,Housenumber
DMP_PostNL::Search,Search
DMP_PostNL::Nearest postnl pickup points,Nearest postnl pickup points
DMP_PostNL::PostNL location Method Name,PostNL location Method Name
DMP_PostNL::Unpaid,Unpaid
DMP_PostNL::The consignment is already credited.,The consignment is already credited.
DMP_PostNL::PostNL - Create labels,PostNL - Create labels
DMP_PostNL::Letterbox,Letterbox
DMP_PostNL::Select,Select
DMP_PostNL::Insured up to:,Insured up to:
DMP_PostNL::Close,Close
DMP_PostNL::Choose a PostNL pickup location,Choose a PostNL pickup location
"DMP_PostNL::The selected shipment-type cannot be used, Pakjegemak-shipments can only be created with the normal shipment type.","The selected shipment-type cannot be used, 'Ship to PostNL location' can only be created with the normal shipment type."
DMP_PostNL::PostNL - Create Magento shipments (no labels),PostNL - Create Magento shipments (no labels)
DMP_PostNL::Insured up to &euro;%s,Insured up to &euro;%s
DMP_PostNL::Post Office Address,Post Office Address
"DMP_PostNL::The selected shipment type cannot be used. Pakjegemak shipments can only be created with the normal shipment type.<br/> The Magento shipment has been created without a PostNL shipment, select a different shipment type or go to the shipment page to create a single PostNL shipment. <a target=""_blank"" href=""%s"">View shipment</a>","The selected shipment type cannot be used. 'Ship to PostNL location' shipments can only be created with the normal shipment type.<br/> The Magento shipment has been created without a PostNL shipment, select a different shipment type or go to the shipment page to create a single PostNL shipment. <a target=""_blank"" href=""%s"">View shipment</a>"
